Equity Holding,Shares,Market Value,Country
Performance Sports Group Ltd,130000,3000000,Canada
Perpetual Energy Inc,1277000,1000000,Canada
Peyto Exploration & Development Corp,875000,30000000,Canada
Plaza Retail REIT,472000,2000000,Canada
Potash Corp of Saskatchewan Inc,8147000,333000000,Canada
Power Corp of Canada,3843000,129000000,Canada
Power Financial Corp,2723000,102000000,Canada
PrairieSky Royalty Ltd,801000,24000000,Canada
Precision Drilling Corp,2216000,18000000,Canada
Premier Gold Mines Ltd,1282000,3000000,Canada
Premium Brands Holdings Corp,190000,6000000,Canada
Pretium Resources Inc,467000,3000000,Canada
Primero Mining Corp,1509000,6000000,Canada
ProMetic Life Sciences Inc,1158000,3000000,Canada
Progressive Waste Solutions Ltd,1087000,40000000,Canada
Pulse Seismic Inc,423000,1000000,Canada
Quebecor Inc,1404000,48000000,Canada
RONA Inc,590000,10000000,Canada
Raging River Exploration Inc,651000,6000000,Canada
Regal Lifestyle Communities Inc,276000,3000000,Canada
Reitmans Canada Ltd,470000,3000000,Canada
Restaurant Brands International Inc,1814000,88000000,Canada
Retrocom Real Estate Investment Trust,371000,1000000,Canada
Richelieu Hardware Ltd,95000,6000000,Canada
Rio Alto Mining Ltd,3116000,10000000,Canada
RioCan Real Estate Investment Trust,932000,27000000,Canada
Ritchie Bros Auctioneers Inc,939000,30000000,Canada
Rogers Communications Inc,891000,38000000,Canada
Rogers Sugar Inc,862000,4000000,Canada
Romarco Minerals Inc,6744000,3000000,Canada
Royal Bank of Canada,15426000,1175000000,Canada
Rubicon Minerals Corp,3410000,4000000,Canada
Russel Metals Inc,131000,3000000,Canada
SEMAFO Inc,3159000,12000000,Canada
SNC-Lavalin Group Inc,3525000,139000000,Canada
Sandstorm Gold Ltd,1111000,5000000,Canada
Sandvine Corp,609000,2000000,Canada
Saputo Inc,2389000,83000000,Canada
Seabridge Gold Inc,163000,1000000,Canada
Sears Canada Inc,179000,2000000,Canada
Secure Energy Services Inc,515000,8000000,Canada
Seven Generations Energy Ltd,36521000,590000000,Canada
Shaw Communications Inc,3752000,107000000,Canada
ShawCor Ltd,236000,8000000,Canada
Sherritt International Corp,4049000,8000000,Canada
Sienna Senior Living Inc,378000,6000000,Canada
Sierra Wireless Inc,292000,12000000,Canada
Silver Standard Resources Inc,1526000,9000000,Canada
Silver Wheaton Corp,3376000,81000000,Canada
SilverCrest Mines Inc,1129000,2000000,Canada
Silvercorp Metals Inc,1077000,2000000,Canada
Sirius XM Canada Holdings Inc,309000,2000000,Canada
Solium Capital Inc,292000,2000000,Canada
Spartan Energy Corp,350000,1000000,Canada
Sprott Inc,1704000,5000000,Canada
Stella-Jones Inc,395000,16000000,Canada
Student Transportation Inc,574000,4000000,Canada
Sun Life Financial Inc,6560000,256000000,Canada
SunOpta Inc,785000,11000000,Canada
Suncor Energy Inc,7236000,268000000,Canada
Superior Plus Corp,704000,10000000,Canada
Surge Energy Inc,702000,2000000,Canada
TELUS Corp,2073000,87000000,Canada
TMX Group Ltd,5172000,281000000,Canada
TORC Oil & Gas Ltd,23732000,232000000,Canada
Tahoe Resources Inc,340000,5000000,Canada
Talisman Energy Inc,1117000,11000000,Canada
Taseko Mines Ltd,1908000,2000000,Canada
Teck Resources Ltd,4356000,76000000,Canada
Tekmira Pharmaceuticals Corp,234000,5000000,Canada
Tembec Inc,937000,3000000,Canada
Thompson Creek Metals Co Inc,4638000,8000000,Canada
Thomson Reuters Corp,3130000,161000000,Canada
Timmins Gold Corp,1411000,1000000,Canada
Torex Gold Resources Inc,2544000,3000000,Canada
Toronto-Dominion Bank/The,19767000,1072000000,Canada
Torstar Corp,607000,4000000,Canada
Total Energy Services Inc,144000,2000000,Canada
Tourmaline Oil Corp,577000,22000000,Canada
TransAlta Corp,1786000,21000000,Canada
TransAlta Renewables Inc,135000,2000000,Canada
TransCanada Corp,3927000,213000000,Canada
TransForce Inc,908000,27000000,Canada
TransGlobe Energy Corp,1195000,5000000,Canada
Transat AT Inc,227000,1000000,Canada
Transcontinental Inc A,1017000,18000000,Canada
Transcontinental Inc B,117000,2000000,Canada
Trevali Mining Corp,2415000,3000000,Canada
Trican Well Service Ltd,723000,2000000,Canada
Tricon Capital Group Inc,1367000,15000000,Canada
Trilogy Energy Corp,251000,2000000,Canada
Turquoise Hill Resources Ltd,7412000,29000000,Canada
Twin Butte Energy Ltd,4932000,4000000,Canada
Valeant Pharmaceuticals International Inc,3402000,851000000,Canada
Valener Inc,251000,4000000,Canada
Veresen Inc,1463000,24000000,Canada
Vermilion Energy Inc,527000,28000000,Canada
WSP Global Inc,15538000,651000000,Canada
Wajax Corp,53000,1000000,Canada
West Fraser Timber Co Ltd,634000,41000000,Canada
WestJet Airlines Ltd,656000,19000000,Canada
Westshore Terminals Investment Corp,170000,5000000,Canada
Whistler Blackcomb Holdings Inc,253000,5000000,Canada
Wi-LAN Inc,1069000,3000000,Canada
Winpak Ltd,208000,8000000,Canada
Yamana Gold Inc,7525000,34000000,Canada
Yellow Pages Ltd/Canada,258000,4000000,Canada
easyhome Ltd,66000,1000000,Canada
3M Co,180000,38000000,United States
3i Group PLC,1151000,10000000,United Kingdom
77 Bank Ltd/The,1863000,13000000,Japan
A2A SpA,11207000,15000000,Italy
AAC Technologies Holdings Inc,206000,2000000,China
ABC-Mart Inc,156000,12000000,Japan
ACE Ltd,692000,98000000,United States
ACS Actividades de Construccion y Servicios SA,405000,18000000,Spain
ADTRAN Inc,786000,19000000,United States
AEON Financial Service Co Ltd,127000,4000000,Japan
AES Gener SA,4589000,3000000,Chile
AGCO Corp,234000,14000000,United States
AIA Group Ltd,24637000,196000000,Hong Kong
AKR Corporindo Tbk PT,2644000,1000000,Indonesia
ALS Ltd,543000,3000000,Australia
AMMB Holdings Bhd,1819000,4000000,Malaysia
AMOREPACIFIC Group,6000,11000000,South Korea
AMP Ltd,3155000,20000000,Australia
ANA Holdings Inc,5295000,18000000,Japan
ANN INC,24000,1000000,United States
ANTA Sports Products Ltd,626000,1000000,China
AO Smith Corp,128000,11000000,United States
AOL Inc,79000,4000000,United States
AP Moeller - Maersk A/S B,11000,29000000,Denmark
ASM Pacific Technology Ltd,153000,2000000,Hong Kong
ASML Holding NV Depositary Receipt,200000,26000000,Netherlands
ASX Ltd,35000,1000000,Australia
AT&T Inc,9258000,383000000,United States
AU Optronics Corp,5500000,4000000,Taiwan
AU Optronics Corp Depositary Receipt,1042000,7000000,Taiwan
AXA SA,2105000,67000000,France
AbbVie Inc,941000,70000000,United States
Abbott Laboratories,570000,33000000,United States
Abercrombie & Fitch Co,339000,9000000,United States
Aberdeen Asset Management PLC,552000,5000000,United Kingdom
Aboitiz Equity Ventures Inc,3884000,6000000,Philippines
Aboitiz Power Corp,3407000,4000000,Philippines
Accenture PLC,564000,67000000,United States
Acer Inc,4979000,4000000,Taiwan
Ackermans & van Haaren NV,22000,3000000,Belgium
