Asset Class,Security Description,Exposure,Quantity
Equity,HAIN CELESTIAL GROUP,1141794,18761
Equity,Hanesbrands Ord Shs,2285530,75906
Equity,Harley Davidson Ord Shs,532475,9500
Equity,Harman International Ord Shs,1329264,13600
Equity,Hartford Financial Services Group Ord Shs,666735,14510
Equity,Hasbro Ord Shs,807437,10825
Equity,HCA Holdings Ord Shs,5000140,57725
Equity,HD Supply Holdings Ord Shs,511797,15509
Equity,Henry Schein Ord Shs,629326,4600
Equity,Hershey Foods Ord Shs,1033508,11545
Equity,Hewlett Packard Ord Shs,746340,26598
Equity,Hexcel Ord Shs,757682,15700
Equity,Hilton Worldwide Holdings Ord Shs,1573552,63373
Equity,Hologic Ord Shs,1443965,37206
Equity,HOME DEPOT,18033598,154848
Equity,Hormel Foods Ord Shs,1191450,19500
Equity,Hubbell Ord Shs Class B,365079,3700
Equity,Huntington Bancshares Ord Shs,1604861,147100
Equity,Huntington Ingalls Industries Ord Shs,1114542,9900
Equity,Hyatt Hotels Ord Shs Class A,517423,10100
Equity,IAC/InterActive Ord Shs,900420,12900
Equity,IDEXX Laboratories Ord Shs,571760,8000
Equity,IHS Ord Shs Class A,475682,4100
Equity,Illumina Ord Shs,3996662,20225
Equity,Incyte Ord Shs,4171221,35900
Equity,Ingredion Ord Shs,397164,4600
Equity,INTEL,1848507,64769
Equity,Interactive Brokers Group Ord Shs Class A,1465503,36711
Equity,Intercontinental Exchange Ord Shs,1841670,8063
Equity,International Flavors & Fragrances Ord Shs,712075,6500
Equity,Intrexon Ord Shs,1461736,32848
Equity,Intuit Ord Shs,2861821,33374
Equity,Intuitive Surgical Ord Shs,1278908,2503
Equity,IPG Photonics Ord Shs,501624,5942
Equity,Iron Mountain Ord Shs,575727,20315
Equity,Isis Pharmaceuticals Ord Shs,1933736,38536
Equity,ITC Holdings Ord Shs,483535,14787
Equity,Jack Henry ans Associates Ord Shs,598048,8800
Equity,Jarden Ord Shs,1265788,24655
Equity,JAZZ PHARMACEUTICALS,979156,5800
Equity,JB Hunt Transport Services Ord Shs,1048032,14400
Equity,JetBlue Airways Ord Shs,2062167,92391
Equity,JM Smucker Ord Shs,800496,6800
Equity,JPMORGAN CHASE,23195803,361869
Equity,Kansas City Southern Ord Shs,479651,5172
Equity,Kate Spade Ord Shs,415224,21900
Equity,Keurig Green Mountain Ord Shs,497174,8784
Equity,Kimco Realty REIT,306519,13298
Equity,Kinder Morgan Ord Shs,4261558,131489
Equity,KLA Tencor Ord Shs,566243,11300
Equity,Kohl's Ord Shs,689977,13521
Equity,Kroger Ord Shs,5689326,164908
Equity,L Brands Ord Shs,3830958,45661
Equity,Laboratory Corporation Of America Holdings Ord Shs,450270,3822
Equity,Lam Research Ord Shs,1324414,18200
Equity,Lamar Advertising Company Ord Shs Class A,656082,12300
Equity,Leggett & Platt Ord Shs,640803,14426
Equity,Lennar A Ord Shs,622660,12233
Equity,Level 3 Communications Ord Shs,2025643,45286
Equity,Linkedin Ord Shs Class A,2122592,11753
Equity,LKQ Ord Shs,782739,26100
Equity,Lockheed Martin Ord Shs,5721559,28440
Equity,Lowe's Companies Ord Shs,8928256,129077
Equity,M&T Bank Ord Shs,366544,3100
Equity,MACQUARIE INFRASTRUCTURE,485309,6165
Equity,Macys Ord Shs,1173314,20019
Equity,Madison Square Garden Ord Shs Class A,1136831,16139
Equity,Marathon Petroleum Ord Shs,1697341,35877
Equity,Markel Ord Shs,448944,545
Equity,Marriot International Ord Shs Class A,2561849,36256
Equity,Marsh & Mclennan Ord Shs,397602,7400
Equity,Martin Marietta Materials Ord Shs,378221,2254
Equity,Marvell Technology Group Ord Shs,602945,53500
Equity,Masco Ord Shs,597965,22797
Equity,Mastercard Ord Shs Class A,11692841,126587
Equity,Maxim Integrated Products Ord Shs,713804,21200
Equity,McCormick & Co Non-Voting Ord Shs,951360,12000
Equity,McGraw Hill Financial Ord Shs,3340239,34439
Equity,McKesson Ord Shs,6223770,31500
Equity,Mead Johnson Nutrition Ord Shs,806119,10290
Equity,MEDIVATION,2113440,24000
Equity,MEDNAX Ord Shs,523092,6494
Equity,Medtronic Ord Shs,2021590,27965
Equity,Mettler Toledo Ord Shs,392336,1323
Equity,MICROSOFT,301071,6918
Equity,Middleby Ord Shs,1172340,10800
Equity,Mohawk Industries Ord Shs,2036670,10340
Equity,Molson Coors Brewing Ord Shs Class B,719779,10571
Equity,Mondelez International Ord Shs Class A,2622889,61919
Equity,Monster Beverage Ord Shs,4354567,31450
Equity,Moody's Ord Shs,3130686,30600
Equity,Morgan Stanley Ord Shs,4355892,126441
Equity,Motorola Solutions Ord Shs,667646,10300
Equity,MSCI Ord Shs,404455,6683
Equity,Murphy USA Ord Shs,319540,6252
Equity,Mylan Ord Shs,319062,6434
Equity,NASDAQ OMX Group Ord Shs,956895,18693
Equity,National Retail Properties REIT,655420,18861
Equity,Navient Ord Shs,378584,29600
Equity,Netflix Ord Shs,6641372,57736
Equity,NetSuite Ord Shs,1208360,13600
Equity,Newell Rubber Ord Shs,448010,10634
Equity,NewMarket Ord Shs,613184,1600
Equity,Nike Ord Shs Class B,11158014,99848
Equity,NiSource Ord Shs,768243,45756
Equity,Nordstrom Ord Shs,1574208,21600
Equity,Northern Trust Ord Shs,1161020,16624
Equity,Northrop Grumman Ord Shs,5730900,35000
Equity,Norwegian Cruise Line Holdings Ord Shs,2248934,39044
Equity,NVIDIA Ord Shs,919027,40882
Equity,O'Reilly Automotive Ord Shs,4862618,20255
Equity,Old Dominion Freight Line Ord Shs,930794,13999
Equity,Omega Healthcare Investors REIT,389720,11537
Equity,Opko Health Ord Shs,1070736,98959
Equity,Owens Corning Ord Shs,566912,12800
Equity,Packaging Corp of America Ord Shs,973095,14500
Equity,Palo Alto Networks Ord Shs,3697578,22516
Equity,Panera Bread Ord Shs Class A,427920,2400
Equity,PayPal Holdings Ord Shs,570010,16286
Equity,Pepsico Ord Shs,1207718,12996
Equity,PFIZER,9915415,307741
Equity,Pilgrims Pride Ord Shs,750905,35800
Equity,Pitney Bowes Ord Shs,717122,36200
Equity,PNC Financial Services Group Ord Shs,1252353,13744
Equity,Polaris Industries Ord Shs,1129869,8700
Equity,Post Properties REIT,326624,5900
Equity,PPG Industries Ord Shs,1894842,19885
Equity,Principal Financial Group Ord Shs,468255,9300
Equity,Puma Biotechnology Ord Shs,956520,10406
Equity,Quest Diagnostics Ord Shs,601996,8879
Equity,Quintiles Transnational Holdings Ord Shs,671335,9010
Equity,Quorvo Ord Shs,1932858,34820
Equity,Rackspace Hosting Ord Shs,606071,19930
Equity,Raymond James Ord Shs,492701,9298
Equity,Raytheon Ord Shs,710331,6926
Equity,Realty Income REIT,304652,6817
Equity,Red Hat Ord Shs,1618587,22415
Equity,Regency Centers REIT,1138752,19200
Equity,Regeneron Pharmaceuticals Ord Shs,7271674,14161
Equity,Resmed Ord Shs,904120,17407
Equity,Reynolds American Ord Shs,6510055,77732
Equity,Rite Aid Ord Shs,1175625,142500
Equity,Robert Half Ord Shs,643029,12601
Equity,Roper Technologies Ord Shs,1708267,10539
Equity,Ross Stores Ord Shs,3669351,75470
Equity,Royal Caribbean Cruises Ord Shs,2770692,31428
Equity,Royal Gold Ord Shs,494818,10283
Equity,RR Donnelley and Sons Ord Shs,799130,50900
Equity,Sabre Ord Shs,452587,16627
Equity,SALESFORCE.COM,4441745,64039
Equity,Sally Beauty Holdings Ord Shs,590764,22600
Equity,SanDisk Ord Shs,340673,6244
Equity,Santander Consumer USA Holdings Ord Shs,496995,22128
Equity,SBA Communications Ord Shs Class A,1751133,14815
Equity,SCANA Ord Shs,509912,9641
Equity,Sealed Air Ord Shs,1208303,23485
Equity,SEI Investments Ord Shs,765579,15136
Equity,Sempra Energy Ord Shs,525943,5545
